source,target,value
38365,416175,1
38365,417518,1
38365,417729,1
38365,420290,1
38365,431174,1
38365,431448,1
38365,431827,1
38365,434974,1
38365,439836,1
38365,440877,1
38365,447440,1
38365,456575,1
38365,456759,1
38365,458358,1
38365,459387,1
38365,462312,1
38365,472453,1
38365,474192,1
38365,475764,1
38365,476945,1
38365,477105,1
38365,483848,1
38365,486191,1
38365,486500,1
38365,488075,1
38365,492269,1
38365,495007,1
38365,495866,1
38365,498702,1
38365,499964,1
38365,503573,1
38365,504153,1
38365,505017,1
38365,505717,1
38365,509376,1
38365,512270,1
38365,512408,1
38365,513227,1
38365,516344,1
38365,518887,1
38365,525469,1
38365,527802,1
38365,528474,1
38365,531142,1
38365,542515,1
39032,515301,1
39040,548091,1
39458,548091,1
40246,515301,1
40504,458358,1
41771,548091,1
41786,548091,1
42086,548091,1
42246,515301,1
42628,458358,1
42679,548091,1
42855,548091,1
42978,458358,1
43397,548091,1
43776,548091,1
45111,515301,1
47100,548091,1
48015,515301,1
48774,548091,1
48994,458358,1
49107,515301,1
49400,51192,1
49400,66665,1
49400,99944,1
49400,108121,1
49400,117322,1
49400,138677,1
49400,145895,1
49400,165840,1
49400,181680,1
49400,190716,1
49400,192925,1
49400,209933,1
49400,216022,1
49400,216944,1
49400,248660,1
49400,248679,1
49400,251680,1
49400,252672,1
49400,260448,1
49400,262501,1
49400,317103,1
49400,321297,1
49400,333863,1
49400,341205,1
49400,380528,1
49400,404651,1
49400,417703,1
49400,420839,1
49400,421677,1
49400,433093,1
49400,446952,1
49400,457098,1
49400,458358,1
49400,487252,1
49400,493323,1
50279,458358,1
50481,458358,1
50483,548091,1
51192,458358,1
51350,56064,1
51350,60568,1
51350,69122,1
51350,117222,1
51350,120451,1
51350,123777,1
51350,141408,1
51350,148610,1
51350,160359,1
51350,188290,1
51350,188581,1
51350,189996,1
51350,211144,1
51350,211984,1
51350,216285,1
51350,223526,1
51350,229084,1
51350,234450,1
51350,247383,1
51350,275218,1
51350,275870,1
51350,301711,1
51350,306520,1
51350,329094,1
51350,332618,1
51350,367175,1
51350,373070,1
51350,390375,1
51350,402698,1
51350,404325,1
51350,404475,1
51350,413798,1
51350,419229,1
51350,421677,1
51350,440294,1
51350,444634,1
51350,445882,1
51350,451945,1
51350,453233,1
51350,458358,1
51350,465049,1
51350,476395,1
51350,510843,1
51350,513568,1
51350,518123,1
51350,536879,1
51813,136200,1
51813,195266,1
51813,234663,1
51813,258346,1
51813,282758,1
51813,320614,1
51813,481190,1
51813,537960,1
51813,543552,1
51813,548091,1
53591,548091,1
53605,548091,1
53661,458358,1
53991,548091,1
54001,458358,1
54039,515301,1
54105,515301,1
54320,548091,1
54329,533197,1
54329,545796,1
54329,546406,1
54329,548091,1
56479,548091,1
56676,548091,1
56709,458358,1
57240,75913,1
57240,120495,1
57240,149824,1
57240,156600,1
57240,159772,1
57240,166988,1
57240,180834,1
57240,196858,1
57240,202176,1
57240,234676,1
57240,249895,1
57240,253450,1
57240,286771,1
57240,386566,1
57240,443294,1
57240,447304,1
57240,458358,1
57240,467548,1
57240,472453,1
57240,481552,1
57240,510113,1
57240,521221,1
57240,534607,1
57240,543993,1
58140,515301,1
58327,548091,1
58678,548091,1
58764,548091,1
59708,548091,1
60229,458358,1
60867,548091,1
61552,458358,1
61655,548091,1
62469,548091,1
63105,548091,1
63239,515301,1
63361,548091,1
64181,458358,1
64225,548091,1
65084,548091,1
65937,548091,1
66004,458358,1
66156,458358,1
66359,515301,1
66665,458358,1
66794,515301,1
66972,548091,1
67122,548091,1
67654,458358,1
68588,458358,1
68611,458358,1
69103,548091,1
71019,515301,1
71040,548091,1
72033,458358,1
74196,548091,1
74298,458358,1
74841,548091,1
75678,458358,1
76370,458358,1
76413,515301,1
76835,79771,1
76835,98036,1
76835,148622,1
76835,194624,1
76835,194628,1
76835,244784,1
76835,251706,1
76835,377430,1
76835,427956,1
76835,440922,1
76835,547661,1
76835,548091,1
77005,515301,1
77613,515301,1
77779,458358,1
77992,143653,1
77992,148369,1
77992,254305,1
77992,259708,1
77992,314498,1
77992,414238,1
77992,468269,1
77992,507437,1
77992,548091,1
79078,515301,1
79771,548091,1
80440,458358,1
80701,458358,1
81426,548091,1
82444,458358,1
82579,117570,1
82579,149549,1
82579,174123,1
82579,234658,1
82579,240422,1
82579,409188,1
82579,461361,1
82579,491047,1
82579,544051,1
82579,544061,1
82579,544551,1
82579,548091,1
83157,548091,1
83642,548091,1
84246,458358,1
84413,548091,1
84605,548091,1
85905,515301,1
86176,515301,1
87177,458358,1
88885,458358,1
89489,548091,1
90597,548091,1
91864,515301,1
92061,265831,1
92061,320810,1
92061,410236,1
92061,547581,1
92061,548091,1
92064,548091,1
92303,163033,1
92303,182969,1
92303,219722,1
92303,255997,1
92303,545519,1
92303,548091,1
92836,515301,1
93736,515301,1
95447,458358,1
95637,458358,1
96249,548091,1
96683,548091,1
96969,458358,1
98500,127166,1
98500,159681,1
98500,180071,1
98500,193471,1
98500,208751,1
98500,217112,1
98500,252131,1
98500,273921,1
98500,332693,1
98500,355746,1
98500,476417,1
98500,486466,1
98500,542846,1
98500,546508,1
98500,548091,1
98561,458358,1
99615,548091,1
100560,458358,1
100860,548091,1
102177,515301,1
102461,548091,1
102497,515301,1
103313,515301,1
103608,458358,1
104217,458358,1
104219,121139,1
104219,121140,1
104219,140202,1
104219,149270,1
104219,265044,1
104219,265046,1
104219,265826,1
104219,284463,1
104219,334337,1
104219,377664,1
104219,464335,1
104219,539456,1
104219,545015,1
104219,545494,1
104219,546139,1
104219,546540,1
104219,546674,1
104219,547060,1
104219,547164,1
104219,548091,1
104626,548091,1
104990,515301,1
105837,458358,1
106143,548091,1
107069,515301,1
107652,458358,1
107833,458358,1
107927,548091,1
108014,515301,1
108049,548091,1
108525,458358,1
109174,548091,1
109411,548091,1
109835,109844,1
109835,112680,1
109835,148126,1
109835,175519,1
109835,190752,1
109835,261600,1
109835,292857,1
109835,386999,1
109835,532214,1
109835,544595,1
109835,548091,1
109962,515301,1
110659,548091,1
110759,548091,1
110762,548091,1
111624,458358,1
112039,458358,1
112345,515301,1
112619,515301,1
112698,458358,1
112981,458358,1
113064,458358,1
113722,458358,1
113978,515301,1
114330,458358,1
114800,548091,1
115257,548091,1
116673,458358,1
117327,515301,1
118012,548091,1
118602,118604,1
118602,158200,1
118602,224437,1
118602,224532,1
118602,227964,1
118602,240068,1
118602,245575,1
118602,292632,1
118602,344159,1
118602,414079,1
118602,470799,1
118602,548091,1
118604,140890,1
118604,158200,1
118604,186791,1
118604,299543,1
118604,548091,1
119977,458358,1
120404,515301,1
120451,458358,1
120547,458358,1
120958,458358,1
121724,548091,1
122062,548091,1
122711,515301,1
122779,548091,1
123578,515301,1
123777,136549,1
123777,163906,1
123777,171605,1
123777,175302,1
123777,175379,1
123777,190521,1
123777,205125,1
123777,212849,1
123777,216285,1
123777,223368,1
123777,225232,1
123777,226888,1
123777,234450,1
123777,237364,1
123777,309050,1
123777,329094,1
123777,343175,1
123777,361797,1
123777,367103,1
123777,367175,1
123777,392722,1
123777,398735,1
123777,399362,1
123777,415257,1
123777,440294,1
123777,444634,1
123777,445882,1
123777,458358,1
123777,460867,1
123777,468154,1
123777,473301,1
123777,476395,1
123777,490179,1
123777,518123,1
123777,518887,1
123881,515301,1
124703,548091,1
125181,548091,1
125235,515301,1
126636,515301,1
126706,515301,1
126911,548091,1
127025,515301,1
128317,548091,1
128353,160017,1
128353,188580,1
128353,196783,1
128353,309657,1
128353,331967,1
128353,523641,1
128353,548091,1
129181,548091,1
129553,458358,1
130029,515301,1
130040,515301,1
130108,515301,1
130680,515301,1
132741,548091,1
132744,548091,1
133084,458358,1
133844,548091,1
133890,515301,1
134087,458358,1
134398,548091,1
134846,515301,1
135480,148957,1
135480,149342,1
135480,175999,1
135480,216299,1
135480,264597,1
135480,316134,1
135480,320511,1
135480,362131,1
135480,507909,1
135480,517788,1
135480,548091,1
135898,515301,1
136126,458358,1
136198,548091,1
136205,136246,1
136205,252943,1
136205,292760,1
136205,426666,1
136205,485508,1
136205,545035,1
136205,548091,1
136549,458358,1
136557,515301,1
136750,548091,1
137859,548091,1
138503,548091,1
138569,515301,1
138602,458358,1
139401,458358,1
139560,458358,1
140486,515301,1
141408,458358,1
142441,515301,1
142792,548091,1
142883,548091,1
143313,548091,1
143552,548091,1
143675,548091,1
143855,548091,1
144911,515301,1
145449,515301,1
145633,548091,1
145850,548091,1
145895,458358,1
146329,515301,1
146343,458358,1
146552,515301,1
146863,548091,1
147286,458358,1
148046,515301,1
148058,458358,1
148659,458358,1
148902,241168,1
148902,530645,1
148902,542957,1
148902,548091,1
149123,515301,1
149544,548091,1
149549,277253,1
149549,544551,1
149549,546357,1
